family_id,twin_id,eye,subject_id,iris_id,image_idx,filename,relative_path,absolute_path,file_extension,file_size_bytes,sha256,width,height,mode,format,readable,error,filename_pattern_ok,filename_family_id,filename_twin_id,filename_eye,filename_image_idx,folder_filename_consistent,quality_ok,brightness,contrast,focus_score,dark_ratio,bright_ratio,folder_class,flag_low_focus,flag_low_contrast,flag_high_bright_ratio,flag_high_dark_ratio,quality_reject,quality_flag_any,segmentation_ok,pupil_found,iris_found,pupil_x,pupil_y,pupil_r,pupil_score,pupil_method,pupil_inner_mean,pupil_ring_mean,pupil_circularity,iris_x,iris_y,iris_r,iris_score,iris_method,iris_edge_score,iris_contrast,iris_confidence,iris_pupil_radius_ratio,iris_center_offset
3,1,R,F03_T1,F03_T1_R,2,S3031R02.jpg,03/1R/S3031R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/03/1R/S3031R02.jpg,.jpg,20965,f3968e4538f9f63b36df19eb3f1752e702cc0a87f032539c35b6a508201bcd76,640,480,L,JPEG,True,iris not found,True,3,1,R,2,True,True,116.0931396484375,38.32249069213867,40.156182444212185,0.0146516927083333,0.0001627604166666,1R,False,False,False,False,False,False,False,True,False,116.0,223.0,82.0,319.11383708003933,hough_pupil,34.01170189424413,72.50155471471922,0.75,,,,,,,,none,,
3,2,L,F03_T2,F03_T2_L,2,S3032L02.jpg,03/2L/S3032L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/03/2L/S3032L02.jpg,.jpg,19886,9b6334f59cfb107dd6a716f46c95c5dc4a9c3bb7a7b82e763c584feafad61f08,640,480,L,JPEG,True,,True,3,2,L,2,True,True,68.656982421875,31.50370979309082,25.7597356145223,0.0216438802083333,3.255208333333333e-05,2L,False,False,False,True,False,True,False,True,True,322.9936828613281,370.8038024902344,48.85470962524414,269.5911527501912,threshold_p3,19.34393971111576,27.102994372990352,0.5603220040531709,322.9936828613281,370.8038024902344,106.0,18.413559474373933,radial_lateral_search,13.678763389587402,5.040000915527344,low,2.1696987007620616,0.0
3,2,L,F03_T2,F03_T2_L,3,S3032L03.jpg,03/2L/S3032L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/03/2L/S3032L03.jpg,.jpg,19967,d5dc05b6faf72ef60423311d56c5f59ded251feff244b7e021aee33f8340b44c,640,480,L,JPEG,True,,True,3,2,L,3,True,True,68.7492904663086,29.140060424804688,26.24101277245416,0.01712890625,5.5338541666666664e-05,2L,False,False,False,False,False,False,False,True,True,314.0316467285156,380.5885925292969,45.68938446044922,274.48011365879125,threshold_p6,19.994875378523176,26.050813953488372,0.8788671990599886,306.0316467285156,372.5885925292969,104.0,23.737235378785993,radial_lateral_search,19.367704391479492,6.494998931884766,low,2.276239901853505,11.31370849898476
3,2,L,F03_T2,F03_T2_L,4,S3032L04.jpg,03/2L/S3032L04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/03/2L/S3032L04.jpg,.jpg,22107,48835a56296bf3cb44bc49054af842ae444940bdfb300d8e59f7f8312fc84ddc,640,480,L,JPEG,True,iris not found,True,3,2,L,4,True,True,92.6300811767578,38.08696365356445,36.59345800856484,0.0143912760416666,7.8125e-05,2L,False,False,False,False,False,False,False,True,False,428.0,376.0,70.0,289.20025136627623,hough_pupil,34.579685119349925,59.62069502882967,0.75,,,,,,,,none,,
5,1,L,F05_T1,F05_T1_L,3,S3051L03.jpg,05/1L/S3051L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/05/1L/S3051L03.jpg,.jpg,19313,3dac9baee6877c9f9a330e25e8111cd3ad45d1a9f42d080a000b4e22a3b332fb,640,480,L,JPEG,True,iris not found,True,5,1,L,3,True,True,123.6015853881836,38.71820831298828,46.753473160542384,0.001513671875,7.161458333333333e-05,1L,False,False,False,False,False,False,False,True,False,385.68804931640625,129.29701232910156,81.26374816894531,347.3206233601289,threshold_p4,40.03947864084984,101.9538291605302,0.418953274233885,,,,,,,,none,,
5,1,L,F05_T1,F05_T1_L,4,S3051L04.jpg,05/1L/S3051L04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/05/1L/S3051L04.jpg,.jpg,19559,207ffd3625c107f594aaf5937dc40edb1367e7dd873966622142bf2b1ff5bfe3,640,480,L,JPEG,True,iris not found,True,5,1,L,4,True,True,123.56480407714844,38.91407012939453,50.574867176649306,0.0015755208333333,4.557291666666667e-05,1L,False,False,False,False,False,False,False,True,False,388.4276428222656,127.48026275634766,80.09053039550781,347.049070924643,threshold_p4,38.801758344355406,100.35531947416692,0.3840533325222753,,,,,,,,none,,
5,1,L,F05_T1,F05_T1_L,5,S3051L05.jpg,05/1L/S3051L05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/05/1L/S3051L05.jpg,.jpg,18872,4ee07e3e8a8668ba51bc78336cc9ac6827e7c626d6f23ee2cf884989358598f7,640,480,L,JPEG,True,iris not found,True,5,1,L,5,True,True,124.40696716308594,38.66009140014648,41.792571975326545,0.0011588541666666,7.8125e-05,1L,False,False,False,False,False,False,False,True,False,385.5,129.0,81.51236724853516,343.8827106107048,threshold_p4,39.72327280946282,100.86526047140067,0.3290673091701611,,,,,,,,none,,
14,2,R,F14_T2,F14_T2_R,1,S3142R01.jpg,14/2R/S3142R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/14/2R/S3142R01.jpg,.jpg,16054,f6bba0009c552941d3600892fbb00470791653b40419e6f8d8b0127286cc577c,640,480,L,JPEG,True,iris not found,True,14,2,R,1,True,True,112.6116180419922,34.649803161621094,21.054129389402597,0.011826171875,9.440104166666666e-05,2R,False,False,False,False,False,False,False,True,False,541.0,177.0,84.0,306.80965458016846,hough_pupil,39.97846940950757,76.82956265434558,0.75,,,,,,,,none,,
17,1,L,F17_T1,F17_T1_L,2,S3171L02.jpg,17/1L/S3171L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/17/1L/S3171L02.jpg,.jpg,18149,398d2ac40d35ce3389d24ac086904078839ebbd4aa1d174ac64a98948105b9a7,640,480,L,JPEG,True,iris not found,True,17,1,L,2,True,True,85.99889373779297,36.01696014404297,23.80774707535638,0.021640625,0.0001627604166666,1L,False,False,False,True,False,True,False,True,False,376.0,83.0,68.0,297.1590450733983,hough_pupil,30.861016949152543,57.55333962709464,0.75,,,,,,,,none,,
17,1,L,F17_T1,F17_T1_L,5,S3171L05.jpg,17/1L/S3171L05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/17/1L/S3171L05.jpg,.jpg,22392,e20d112c24e531fc15ac227502c0981dd4f334f1daeaed6b1db7c99b4815a34c,640,480,L,JPEG,True,iris not found,True,17,1,L,5,True,True,95.13563537597656,35.692989349365234,37.15016987269719,0.0189713541666666,9.440104166666666e-05,1L,False,False,False,False,False,False,False,True,False,220.0,122.0,78.0,318.7260699757856,hough_pupil,32.85830362324849,71.1765320894322,0.75,,,,,,,,none,,
